state,pollster,sponsor,start.date,end.date,entry.date.time..et.,number.of.observations,population,mode,biden,trump,biden_margin,other,undecided,url,include,note
WI,Morning Consult,,8/7/2020,8/16/2020,8/17/2020 20:08:00,788,lv,Online,49.0,43.0,6.0,,,https://morningconsult.com/2020/08/17/wisconsin-dnc-biden-trump-polling/,True,
--,Morning Consult,,8/14/2020,8/16/2020,8/17/2020 20:06:00,11809,lv,Online,51.0,43.0,8.0,,,https://morningconsult.com/2020-presidential-election-tracker/,True,
--,Redfield & Wilton Strategies,,8/12/2020,8/12/2020,8/17/2020 17:48:00,1867,lv,Online,48.0,41.0,7.0,3.0,,https://redfieldandwiltonstrategies.com/latest-usa-voting-intention-august-12/,True,
--,YouGov,Yahoo,8/14/2020,8/15/2020,8/17/2020 16:24:00,1158,lv,Online,50.0,41.0,9.0,,,https://news.yahoo.com/new-yahoo-news-you-gov-poll-shows-biden-ahead-of-trump-by-11-points-among-registered-voters-his-largest-lead-yet-180802634.html,True,
GA,Landmark Communications,,8/14/2020,8/15/2020,8/17/2020 16:23:00,500,lv,Online,45.0,47.0,-2.0,4.0,,https://assets.documentcloud.org/documents/7038561/Landmark-Communications-Georgia-Poll.pdf,True,
TX,YouGov,,8/4/2020,8/13/2020,8/17/2020 9:56:00,846,rv,Online,41.0,48.0,-7.0,2.0,,https://www.txhpf.org/wp-content/uploads/2020/08/THPFFinalAug17.pdf,True,
--,ABC News/Washington Post,,8/12/2020,8/15/2020,8/16/2020 23:03:00,700,lv,Live Phone,54.0,44.0,10.0,,,https://www.langerresearch.com/wp-content/uploads/1215a2The2020Election.pdf,True,
--,ABC News/Washington Post,,8/12/2020,8/15/2020,8/16/2020 23:03:00,1001,rv,Live Phone,53.0,41.0,12.0,,,https://www.langerresearch.com/wp-content/uploads/1215a2The2020Election.pdf,True,
--,SSRS,CNN,8/12/2020,8/15/2020,8/16/2020 20:28:00,987,rv,Live Phone,50.0,46.0,4.0,,,https://cdn.cnn.com/cnn/2020/images/08/16/rel8a.-.2020.pdf,True,
NC,East Carolina University,,8/12/2020,8/13/2020,8/16/2020 20:27:00,1255,rv,Online,47.0,47.0,0.0,,,https://surveyresearch-ecu.reportablenews.com/pr/latest-ecu-poll-shows-trump-and-biden-tied-in-north-carolina-democrats-leading-in-contests-for-governor-and-u-s-senate-kamala-harris-selection-draws-mixed-reaction,True,
--,YouGov,Yahoo,8/12/2020,8/14/2020,8/16/2020 10:44:00,2152,lv,Online,52.0,42.0,10.0,,,https://drive.google.com/file/d/1PZk2TziNsU0tv0YI_77lY3RGnqM1eq9N/view,True,
