date,dem_estimate,dem_hi,dem_lo,rep_estimate,rep_hi,rep_lo
2020-08-17,48.52678,52.244391,44.809168,41.233845,45.033301,37.434389
2020-08-16,48.515427,52.216156,44.814699,41.29224,45.059547,37.524932
2020-08-15,48.746124,52.479632,45.012616,41.280376,45.097494,37.463258
2020-08-14,48.744629,52.482395,45.006864,41.27248,45.088145,37.456816
2020-08-13,48.513222,52.373555,44.652889,40.87273,44.731667,37.013793
2020-08-12,48.517509,52.382371,44.652647,40.870825,44.728524,37.013126
2020-08-11,48.500023,52.335757,44.664289,40.890414,44.721818,37.059009
2020-08-10,48.507939,52.348233,44.667646,40.886481,44.717511,37.055451
2020-08-09,48.164466,52.063519,44.265414,40.43358,44.244488,36.622672
2020-08-08,48.178858,52.081554,44.276163,40.438891,44.250527,36.627256
2020-08-07,48.19194,52.098056,44.285824,40.443875,44.256528,36.631221
2020-08-06,48.207078,52.122941,44.291214,40.447426,44.265288,36.629565
2020-08-05,48.219029,52.137488,44.300569,40.452426,44.27047,36.634382
2020-08-04,48.248775,52.169801,44.327749,40.471739,44.318715,36.624763
2020-08-03,48.260693,52.180413,44.340973,40.472521,44.332199,36.612842
2020-08-02,48.45168,52.456776,44.446584,40.405973,44.401707,36.41024
2020-08-01,48.47047,52.476186,44.464753,40.413806,44.407625,36.419986
2020-07-31,48.489839,52.495482,44.484197,40.420418,44.411741,36.429095
2020-07-30,49.149695,53.168978,45.130411,40.783661,44.875126,36.692196
2020-07-29,49.152781,53.171702,45.13386,40.780685,44.869288,36.692082
2020-07-28,49.54347,53.521303,45.565636,41.018374,45.158521,36.878228
2020-07-27,49.538327,53.518183,45.55847,41.011581,45.147652,36.87551
2020-07-26,49.532732,53.514,45.551464,41.004967,45.137937,36.871998
2020-07-25,49.525941,53.507568,45.544315,40.996097,45.124764,36.867431
2020-07-24,49.519887,53.502153,45.537621,40.987855,45.113464,36.862245
2020-07-23,49.42541,53.443732,45.407087,41.247581,45.34221,37.152953
2020-07-22,49.017934,52.961921,45.073947,40.592595,44.467541,36.71765
2020-07-21,49.019443,52.959251,45.079634,40.717528,44.519426,36.915631
2020-07-20,49.0206,52.962004,45.079197,40.713831,44.517969,36.909694
2020-07-19,49.023169,52.966236,45.080101,40.710472,44.517159,36.903785
2020-07-18,49.023981,52.968406,45.079555,40.707314,44.515647,36.898982
2020-07-17,49.025587,52.971367,45.079807,40.704005,44.514025,36.893984
2020-07-16,49.026897,52.974503,45.079291,40.699742,44.511397,36.888087
2020-07-15,48.908908,52.891267,44.926549,40.677764,44.55439,36.801139
2020-07-14,49.434422,53.44512,45.423724,40.428702,44.278282,36.579122
2020-07-13,49.42873,53.440869,45.416591,40.428529,44.279717,36.577341
2020-07-12,49.423282,53.436726,45.409839,40.428088,44.280522,36.575655
2020-07-11,49.414373,53.429753,45.398993,40.427519,44.280802,36.574235
2020-07-10,49.405422,53.422293,45.388551,40.4264,44.280258,36.572542
2020-07-09,49.394983,53.413509,45.376457,40.425854,44.280009,36.5717
2020-07-08,49.386494,53.406494,45.366495,40.425462,44.280148,36.570776
2020-07-07,49.204179,53.224864,45.183493,40.389393,44.276278,36.502507
2020-07-06,49.200003,53.221597,45.178409,40.388789,44.275606,36.501971
2020-07-05,49.19484,53.218575,45.171104,40.389521,44.276508,36.502533
2020-07-04,49.191612,53.216602,45.166623,40.389912,44.277433,36.502391
2020-07-03,49.186876,53.213497,45.160255,40.391628,44.279101,36.504155
2020-07-02,49.183145,53.211222,45.155068,40.39281,44.280121,36.505499
2020-07-01,49.208073,53.335145,45.081001,40.264892,44.221214,36.308571
2020-06-30,48.985499,53.170392,44.800606,39.95465,43.974774,35.934525
2020-06-29,48.497889,52.77386,44.221918,40.759681,44.751614,36.767747
2020-06-28,48.617534,52.830749,44.404318,40.725793,44.723936,36.72765
2020-06-27,48.618302,52.830891,44.405712,40.720938,44.719979,36.721897
2020-06-26,48.619761,52.831113,44.408409,40.717432,44.716707,36.718157
2020-06-25,48.716028,52.994917,44.43714,40.593687,44.629564,36.557811
2020-06-24,48.717098,52.992961,44.441235,40.592799,44.628102,36.557495
2020-06-23,48.723496,53.013609,44.433383,40.527627,44.574735,36.480518
2020-06-22,48.370825,52.617293,44.124357,40.407552,44.551637,36.263467
2020-06-21,48.375082,52.618829,44.131334,40.408266,44.550464,36.266068
2020-06-20,48.379775,52.620778,44.138771,40.409175,44.548974,36.269376
2020-06-19,48.385537,52.623235,44.147839,40.410742,44.546849,36.274636
2020-06-18,48.391472,52.625997,44.156946,40.412644,44.545497,36.279791
2020-06-17,48.555617,52.868572,44.242662,40.730403,44.834599,36.626206
2020-06-16,48.518575,52.862148,44.175002,40.594035,44.631557,36.556513
2020-06-15,48.522442,52.861794,44.183091,40.595917,44.63176,36.560074
2020-06-14,48.528778,52.861662,44.195894,40.60604,44.633805,36.578275
2020-06-13,48.531725,52.859684,44.203766,40.607167,44.63322,36.581114
2020-06-12,48.534884,52.857941,44.211828,40.608041,44.633503,36.58258
2020-06-11,48.538525,52.85697,44.22008,40.608859,44.633835,36.583884
2020-06-10,48.547652,52.864752,44.230552,40.573652,44.615057,36.532247
2020-06-09,48.589891,52.918234,44.261548,40.60264,44.652997,36.552283
2020-06-08,49.044328,53.308151,44.780506,40.604624,44.741408,36.46784
2020-06-07,49.025669,53.290754,44.760585,40.602917,44.736796,36.469038
2020-06-06,48.68578,53.020236,44.351324,40.896836,45.183011,36.610661
2020-06-05,48.685475,53.01529,44.35566,40.893158,45.174048,36.612268
2020-06-04,48.684529,53.010009,44.35905,40.890045,45.164643,36.615447
2020-06-03,48.681952,53.010081,44.353823,40.915374,45.176585,36.654163
2020-06-02,48.160301,52.412036,43.908565,40.459069,44.795997,36.12214
2020-06-01,48.167358,52.41593,43.918785,40.461502,44.791641,36.131364
2020-05-31,48.179205,52.419144,43.939265,40.503586,44.811588,36.195585
2020-05-30,48.183955,52.422795,43.945115,40.503553,44.806454,36.200652
2020-05-29,48.188221,52.4253,43.951143,40.501704,44.79889,36.204518
2020-05-28,48.172359,52.406669,43.938048,40.494459,44.793305,36.195613
2020-05-27,48.172142,52.410572,43.933712,40.478305,44.781442,36.175168
2020-05-26,48.228407,52.502832,43.953983,40.271519,44.472427,36.070612
2020-05-25,48.207099,52.485138,43.92906,40.243287,44.456424,36.030151
2020-05-24,48.211066,52.486387,43.935746,40.249761,44.460456,36.039067
2020-05-23,48.214278,52.486927,43.94163,40.25638,44.46428,36.048481
2020-05-22,48.218035,52.487977,43.948093,40.263432,44.468571,36.058292
2020-05-21,48.226679,52.49912,43.954237,40.287662,44.486849,36.088475
